id,company_id,expense_type_id,expense_category_id,description,budgeted_amount,actual_amount,planned_date,period_month,period_year,is_recurring,status,transaction_id,created_at,updated_at
2af6db90-1abc-4f34-a411-52bdb0e01274,aeb56588-5e15-4ce2-b24b-065ebf842c44,7d1e74f3-c45c-40a9-a69a-093dad13ce5b,f0c1fde0-bedd-443e-b90a-c27cb9e45753,Fijo,17000.0,17000.0,2025-01-01,1,2025,True,PAID,,2026-03-08 20:09:08.910570,2026-03-08 20:09:08.910570
bd5a9680-e6fc-44a1-a21d-81d1fc9a90ae,aeb56588-5e15-4ce2-b24b-065ebf842c44,6f1e0729-ef2b-44e0-8771-8be63fae253e,6ad71abe-b5a6-483a-b261-bf3b3c0d17ab,Fijo,12569.0,12569.0,2025-01-03,1,2025,True,PAID,,2026-03-08 20:09:08.910570,2026-03-08 20:09:08.910570
13ae8b32-aadc-4c45-b5b2-91fa1ceaf9e1,aeb56588-5e15-4ce2-b24b-065ebf842c44,7d1e74f3-c45c-40a9-a69a-093dad13ce5b,c69f65b0-499c-4393-b26c-c72c9f85ac6c,Variable,45000.0,45000.0,2025-01-05,1,2025,True,PAID,,2026-03-08 20:09:08.910570,2026-03-08 20:09:08.910570
8ce87dce-2bb6-451e-bd60-c5fbbc9c2c7d,aeb56588-5e15-4ce2-b24b-065ebf842c44,72369dec-9ebc-451c-b6ae-1fa58a8498b8,bd3ebab2-b316-439e-af86-ed84e72ec054,Variable,30000.0,30000.0,2025-01-07,1,2025,False,PAID,,2026-03-08 20:09:08.910570,2026-03-08 20:09:08.910570
71f48a99-f5ae-48b6-b7d2-b65ff0b75946,aeb56588-5e15-4ce2-b24b-065ebf842c44,6f1e0729-ef2b-44e0-8771-8be63fae253e,84b25780-9517-4d49-a8a3-3a7b7bd7bdd5,Fijo,233451.0,233451.0,2025-01-10,1,2025,True,PAID,,2026-03-08 20:09:08.910570,2026-03-08 20:09:08.910570
2c067dd0-5831-49cd-845c-65f9ec0eb07c,aeb56588-5e15-4ce2-b24b-065ebf842c44,72369dec-9ebc-451c-b6ae-1fa58a8498b8,4951d4f0-809f-4e97-b06c-f577c47b398f,Fijo,22000.0,22000.0,2025-01-10,1,2025,False,PAID,,2026-03-08 20:09:08.910570,2026-03-08 20:09:08.910570
b2fdcae8-dd66-4396-a7db-c20a7c60ce1f,aeb56588-5e15-4ce2-b24b-065ebf842c44,6f1e0729-ef2b-44e0-8771-8be63fae253e,93c6ab6d-c09c-48bd-874e-3b208327d54a,Fijo,16000.0,16000.0,2025-01-10,1,2025,True,PAID,,2026-03-08 20:09:08.910570,2026-03-08 20:09:08.910570
ec349cda-28e5-4137-851c-bb55715cc2cf,aeb56588-5e15-4ce2-b24b-065ebf842c44,eb1392f6-7337-4303-a057-a10f44787909,167f9f9f-05f5-4f26-94cb-acffa90a368c,Fijo,100000.0,100000.0,2025-01-10,1,2025,False,PAID,,2026-03-08 20:09:08.910570,2026-03-08 20:09:08.910570
398a0639-a672-481d-8dfd-4c17997c96b3,aeb56588-5e15-4ce2-b24b-065ebf842c44,7d1e74f3-c45c-40a9-a69a-093dad13ce5b,5f0ceb1a-ddb9-4bc2-8bd5-79c3fb535cc2,Fijo,30000.0,30000.0,2025-01-14,1,2025,True,PAID,,2026-03-08 20:09:08.910570,2026-03-08 20:09:08.910570
b179258e-3a39-418a-8a0e-5922593981d8,aeb56588-5e15-4ce2-b24b-065ebf842c44,6f1e0729-ef2b-44e0-8771-8be63fae253e,06a24417-dc19-4f87-a4b2-b1d7d87b6f16,Fijo,9000.0,9000.0,2025-01-15,1,2025,True,PAID,,2026-03-08 20:09:08.910570,2026-03-08 20:09:08.910570
